season,award,placement,team,player,percentage
NLTP S13,Best Captain,2,PRE,Snowball,0.1609
NLTP S13,Best Captain,3,CHP,Jackals,0.1424
NLTP S13,Most Cohesive Unit,1,Preventure Time,,0.3159
NLTP S13,Most Cohesive Unit,2,The Land Before Timers,,0.2657
NLTP S13,Most Cohesive Unit,3,Ballsagna,,0.2446
NLTP S13,Best Streamer,1,,IfYouSeekAmy,0.4124
NLTP S13,Best Streamer,2,,Seconskin,0.1846
NLTP S13,Best Streamer,3,,LogisticMap,0.1590
NLTP S13,Heart Award,1,TBA,Kwib,0.1307
NLTP S13,Heart Award,2,PRE,Balled Eagle,0.1178
NLTP S13,Heart Award,3,TNW,Crowman,0.1055
NLTP S13,Behind the Scenes,1,PRE,Balled Eagle,0.4273
NLTP S13,Behind the Scenes,2,,wassa,0.1554
NLTP S13,Behind the Scenes,2,,IfYouSeekAmy,0.1554
NLTP S13,Behind the Scenes,2,,A$AP Caplord,0.1554
NLTP S13,Behind the Scenes,2,,Sir Cle Jerk,0.1554
NLTP S13,Behind the Scenes,3,LBT,Fender,0.1263
NLTP B S13,MVB,1,LBT,steeze.,0.2538
NLTP B S13,MVB,2,LBT,Darth,0.1421
NLTP B S13,MVB,3,LBT,chucky,0.1117
NLTP B S13,OBOS,1,LBT,steeze.,0.2950
NLTP B S13,OBOS,2,LBT,chucky,0.1400
NLTP B S13,OBOS,3,DNO,Edd,0.0900
NLTP B S13,DBOS,1,LBT,Darth,0.2849
NLTP B S13,DBOS,2,BFL,gh0st,0.1774
NLTP B S13,DBOS,3,TBA,kwib,0.1452
NLTP B S13,Offensive Team Ball,1,DNO,Benoit Balls,0.3240
NLTP B S13,Offensive Team Ball,2,,im a goat,0.2402
NLTP B S13,Offensive Team Ball,3,TBA,korso,0.1788
NLTP B S13,Defensive Team Ball,1,LBT,tplattapus,0.2659
NLTP B S13,Defensive Team Ball,2,,Gram,0.1965
NLTP B S13,Defensive Team Ball,3,CJK,IfYouSirClew,0.1561
NLTP B S13,Rookie of the Season,1,DNO,Benoit Balls,0.3277
NLTP B S13,Rookie of the Season,2,POC,slobonmyknob,0.1751
NLTP B S13,Rookie of the Season,3,TTT,MarsWater,0.1469
NLTP B S13,Position Change,1,,Creta Petram,0.2857
NLTP B S13,Position Change,2,,Harry Kane,0.2308
NLTP B S13,Position Change,3,TNW,fortytwo,0.1978
NLTP B S13,Most Improved,1,LBT,steeze.,0.1941
NLTP B S13,Most Improved,2,LBT,misterpeanut,0.1765
NLTP B S13,Most Improved,3,PRO,Whiskey Jack,0.1471
NLTP B S13,Well Rounded,1,LBT,chucky,0.1675
NLTP B S13,Well Rounded,2,LBT,Darth,0.1623
NLTP B S13,Well Rounded,3,TNW,fortytwo,0.1518
NLTP B S13,FU GASP,1,LBT,tplattapus,0.1935
NLTP B S13,FU GASP,2,DNO,LogisticMap,0.1505
NLTP B S13,FU GASP,3,TNW,fortytwo,0.1398
NLTP B S13,Best Valued,1,,Harry  Kane,0.2065
NLTP B S13,Best Valued,2,DNO,Benoit Balls,0.1957
NLTP B S13,Best Valued,3,TBA,nanner,0.1413
NLTP B S13,Best Offense Pair,1,LBT,steeze.,0.3693
NLTP B S13,Best Offense Pair,1,LBT,Chucky,0.3693
NLTP B S13,Best Offense Pair,2,DNO,Edd,0.2670
NLTP B S13,Best Offense Pair,2,DNO,LogisticMap,0.2670
NLTP B S13,Best Offense Pair,3,PRO,k42larson,0.2159
NLTP B S13,Best Offense Pair,3,PRO,Tinderfella,0.2159
NLTP B S13,Best Defense Pair,1,LBT,Darth,0.3483
NLTP B S13,Best Defense Pair,1,LBT,tplattapus,0.3483
NLTP B S13,Best Defense Pair,2,TBA,kwib,0.1966
NLTP B S13,Best Defense Pair,2,TBA,nanner,0.1966
NLTP B S13,Best Defense Pair,3,BOY,H.D.,0.1461
NLTP B S13,Best Defense Pair,3,BOY,EatMyShorts,0.1461
MLTP S14,MVB,1,COA,WarriOrs,0.2440
MLTP S14,MVB,2,RHCP,toasty.,0.1988
MLTP S14,MVB,3,BD,intercest,0.1566
MLTP S14,OBOS,1,COA,WarriOrs,0.3091
MLTP S14,OBOS,2,GB,protag,0.3061
MLTP S14,OBOS,3,ABO,fuckthecrc,0.1212
MLTP S14,DBOS,1,RHCP,toasty.,0.2315
MLTP S14,DBOS,2,BD,intercest,0.1914
MLTP S14,DBOS,3,GB,Sherrattinho,0.1605
MLTP S14,OROS,1,TCJ,Gasol,0.4156
MLTP S14,OROS,2,ABO,beast mode,0.1851
MLTP S14,OROS,3,WHC,Crossover,0.1494
MLTP S14,DROS,1,ABO,MEX,0.3962
MLTP S14,DROS,2,DLTP,phreak,0.1981
MLTP S14,DROS,3,TCJ,boogie,0.1950
MLTP S14,5th Ball,1,ABO,FLY,0.3123
MLTP S14,5th Ball,2,SBP,obama.,0.2912
MLTP S14,5th Ball,3,DLTP,Cheetosrule,0.1684
MLTP S14,Well Rounded,1,COA,badger,0.3290
MLTP S14,Well Rounded,2,BD,intercest,0.2774
MLTP S14,Well Rounded,3,COA,WarriOrs,0.1226
MLTP S14,Most Improved,1,COA,WarriOrs,0.2138
MLTP S14,Most Improved,2,TRS,GOOBR,0.2072
MLTP S14,Most Improved,3,TCJ,Ty,0.1546
MLTP S14,Best Valued,1,TRS,GOOBR,0.3118
MLTP S14,Best Valued,2,,wayne,0.1613
MLTP S14,Best Valued,2,,Calamitous,0.1613
MLTP S14,Best Offensive Performance,1,COA,WarriOrs,0.1815
MLTP S14,Best Offensive Performance,2,,protag,0.1573
MLTP S14,Best Offensive Performance,2,,fuckthecrc,0.1573
MLTP S14,Best Defensive Performance,1,21J,aardvark,0.2299
MLTP S14,Best Defensive Performance,2,REP,EndTheFed W5,0.2261
MLTP S14,Best Defensive Performance,3,DLTP,phreak,0.1609
MLTP S14,FU GASP,1,TCJ,siDe,0.2703
MLTP S14,FU GASP,2,GB,A-A-ron,0.1993
MLTP S14,FU GASP,3,RHC,C Bivvey,0.1554
MLTP S14,Best Captain,1,COA,WarriOrs,0.1974
MLTP S14,Best Captain,2,TRS,yank,0.1447
MLTP S14,Best Captain,3,BD,intercest,0.1382
MLTP S14,Most Cohesive Unit,1,Centra of Attention,,0.2979
MLTP S14,Most Cohesive Unit,2,Boostin Dynamo,,0.1815
MLTP S14,Most Cohesive Unit,3,Tears,,0.1781
MLTP S14,Best Streamer,1,N/A,Shotcallers,0.3800
MLTP S14,Best Streamer,2,N/A,Pithy__,0.2533
MLTP S14,Best Streamer,3,N/A,iAaronK,0.1267
MLTP S14,Best Commentator,1,RHCP,BALLDON'TLIE,0.2795
MLTP S14,Best Commentator,2,N/A,Ron Spawnson,0.2694
MLTP S14,Best Commentator,3,N/A,Liquid,0.1751
MLTP S14,Behind the Scenes,1,877,Mufro,0.1966
MLTP S14,Behind the Scenes,2,N/A,Klovar,0.1552
MLTP S14,Behind the Scenes,3,COA,WarriOrs,0.1517
MLTP S14,Best Roster Move,1,TCJ,Ron Hextball,0.3347
MLTP S14,Best Roster Move,2,ABO,MEX,0.2367
MLTP S14,Best Roster Move,3,B4,veezy,0.1837
MLTP S14,All-Stars [Offense],1,COA,WarriOrs,0.8180
MLTP S14,All-Stars [Offense],2,GB,protag,0.7640
MLTP S14,All-Stars [Offense],3,ABO,fuckthecrc,0.5640
MLTP S14,All-Stars [Offense],4,RHCP,BALLDON'TLIE,0.5270
MLTP S14,All-Stars [Offense],5,TRS,GOOBR,0.5090
MLTP S14,All-Stars [Defense],1,RHCP,toasty. [Captain],0.7820
MLTP S14,All-Stars [Defense],2,BD,intercest,0.7270
MLTP S14,All-Stars [Defense],3,GB,Sherrattinho,0.6180
MLTP S14,All-Stars [Defense],4,ABO,MEX,0.4360
MLTP S14,All-Stars [Defense],5,COA,badger,0.4000
mLTP S14,MVB,1,ABO,poobie,0.2598
mLTP S14,MVB,2,COA,Pandora,0.1653
mLTP S14,MVB,3,877,pulpo,0.1417
mLTP S14,OBOS,1,ABO,poobie,0.3485
mLTP S14,OBOS,2,877,pulpo,0.2490
mLTP S14,OBOS,3,GB,TagProfessor,0.1328
mLTP S14,DBOS,1,COA,Pandora,0.2338
mLTP S14,DBOS,2,ABO,XxPssySlyrxX,0.2035
mLTP S14,DBOS,3,BD,Hawaii,0.1126
mLTP S14,OROS,1,21J,#SelfySyntax,0.3190
mLTP S14,OROS,2,TRS,@jj,0.1767
mLTP S14,OROS,3,TRS,Corbeh,0.1724
mLTP S14,DROS,1,ABO,XxPssySlyrxX,0.2603
mLTP S14,DROS,2,COA,Pandora,0.2397
mLTP S14,DROS,3,21J,Gargantua,0.1980
mLTP S14,5th Ball,1,877,pulpo,0.4201
mLTP S14,5th Ball,2,877,Dodge,0.2237
mLTP S14,5th Ball,3,RHCP,Ashmungashma,0.1964
mLTP S14,Well Rounded,1,COA,Pandora,0.2609
mLTP S14,Well Rounded,2,COA,Raspberry,0.1522
mLTP S14,Well Rounded,3,DLTP,Cheetosrule,0.1479
mLTP S14,Most Improved,1,GB,TagProfessor,0.2232
mLTP S14,Most Improved,2,877,pulpo,0.2060
mLTP S14,Most Improved,3,DLTP,TheBob18,0.1245
mLTP S14,Best Valued,1,COA,Pandora,0.2926
mLTP S14,Best Valued,2,GB,TagProfessor,0.2183
mLTP S14,Best Valued,3,SBP,yiss,0.0961
mLTP S14,Best Offensive Performance,1,ABO,poobie,0.2278
mLTP S14,Best Offensive Performance,2,DLTP,CoolCat,0.1835
mLTP S14,Best Offensive Performance,3,TCJ,FURY.,0.1392
mLTP S14,Best Defensive Performance,1,DLTP,TheBob18,0.1802
mLTP S14,Best Defensive Performance,2,COA,Pandora,0.1744
mLTP S14,Best Defensive Performance,3,ABO,XxPssySlyrxX,0.1395
mLTP S14,FU GASP,1,TCJ,Tim Hortons,0.2581
mLTP S14,FU GASP,2,B4,Ball OON,0.1667
mLTP S14,FU GASP,3,TRS,Ralph Wiggum,0.1344
mLTP S14,Most Cohesive Unit,1,Orange is the New Block,,0.1882
mLTP S14,Most Cohesive Unit,2,Attention Wars,,0.1667
mLTP S14,Most Cohesive Unit,3,GG Wentworth,,0.1398
mLTP S14,All-Stars [Offense],1,ABO,poobie,0.7380
mLTP S14,All-Stars [Offense],2,877,pulpo,0.5480
mLTP S14,All-Stars [Offense],3,GB,TagProfessor,0.4050
mLTP S14,All-Stars [Offense],4,21J,#SelfySyntax,0.3810
mLTP S14,All-Stars [Offense],5,REP,PK SMURFBALL,0.2620
mLTP S14,All-Stars [Defense],1,COA,Pandora,0.5680
mLTP S14,All-Stars [Defense],2,ABO,XxPssySlyrxX,0.5410
mLTP S14,All-Stars [Defense],3,REP,evanw4,0.3240
mLTP S14,All-Stars [Defense],4,DLTP,TheBob18,0.3240
mLTP S14,All-Stars [Defense],5,COA,Raspberry,0.2970
NLTP S14,MVB,1,DST,DanP,0.2060
NLTP S14,MVB,2,DNO,Gargantua,0.1707
NLTP S14,MVB,3,FLB,RAMMSTEIN,0.1274
NLTP S14,OBOS,1,DNO,Gargantua,0.2629
NLTP S14,OBOS,2,FLB,RAMMSTEIN,0.2466
NLTP S14,OBOS,3,DST,DanP,0.1897
NLTP S14,DBOS,1,OPH,karlwithak,0.2650
NLTP S14,DBOS,2,BOY,ess,0.1530
NLTP S14,DBOS,3,DNO,Gram Parsons,0.1530
NLTP S14,Offensive Team Ball,1,PRO,Galvatron,0.3030
NLTP S14,Offensive Team Ball,2,FLB,RandyB0Bandy,0.3000
NLTP S14,Offensive Team Ball,3,PIC,naga,0.1879
NLTP S14,Defensive Team Ball,1,DST,kwib,0.2523
NLTP S14,Defensive Team Ball,2,PQP,Whiskey Jack,0.2222
NLTP S14,Defensive Team Ball,3,DNO,SKY KING,0.1862
NLTP S14,Rookie of the Season,1,DNO,omar,0.3005
NLTP S14,Rookie of the Season,2,DNO,Gram Parsons,0.2049
NLTP S14,Rookie of the Season,3,RTJ,Vntus,0.1557
NLTP S14,Position Change,1,DNO,Gargantua,0.4912
NLTP S14,Position Change,2,PQP,Getsolo D,0.2706
NLTP S14,Position Change,3,POG,Stev mcqueen,0.2382
NLTP S14,Most Improved,1,OPH,haha kill me,0.2051
NLTP S14,Most Improved,2,DNO,Gram Parsons,0.2051
NLTP S14,Most Improved,3,RTJ,Noice!!,0.1826
NLTP S14,Well Rounded,1,RTJ,Slowpolka,0.2151
NLTP S14,Well Rounded,2,DNO,omar,0.1909
NLTP S14,Well Rounded,3,DNO,Gargantua,0.1478
NLTP S14,FU GASP,1,FLB,RAZGRIZ,0.1729
NLTP S14,FU GASP,2,PQP,Ball-erina,0.1643
NLTP S14,FU GASP,3,SLA,42 / Crowman,0.1182
NLTP S14,Best Valued,1,DNO,omar,0.2405
NLTP S14,Best Valued,2,OPH,haha kill me,0.1378
NLTP S14,Best Valued,3,FLB,WarpedPotato,0.1027
NLTP S14,Best Offense Pair,1,DNO,A$AP Caplord,0.4438
NLTP S14,Best Offense Pair,1,DNO,Gargantua,0.4438
NLTP S14,Best Offense Pair,2,RTJ,Vader,0.2055
NLTP S14,Best Offense Pair,2,RTJ,Vntus,0.2055
NLTP S14,Best Offense Pair,3,OPH,haha kill me,0.1808
NLTP S14,Best Offense Pair,3,OPH,theplaymaker,0.1808
NLTP S14,Best Defense Pair,1,OPH,NameLEss,0.3188
NLTP S14,Best Defense Pair,1,OPH,karlwithak,0.3188
NLTP S14,Best Defense Pair,2,SLA,fortytwo,0.1635
NLTP S14,Best Defense Pair,2,SLA,Crowman,0.1635
NLTP S14,Best Defense Pair,3,DNO,Gram Parsons,0.1553
NLTP S14,Best Defense Pair,3,DNO,omar,0.1553
NLTP S14,Best Co-Captain,1,,IfYouSeekAmy,0.2677
NLTP S14,Best Co-Captain,2,,alchemist,0.2400
NLTP S14,Best Co-Captain,3,,crowman,0.1446
NLTP S14,Best Captain,1,DNO,A$AP Caplord,0.2323
NLTP S14,Best Captain,2,RTJ,Vader,0.2266
NLTP S14,Best Captain,3,OPH,NameLEss,0.2040
NLTP S14,Most Cohesive Unit,1,WCYDinos,,0.2544
NLTP S14,Most Cohesive Unit,2,Returns of the Jedi,,0.2426
NLTP S14,Most Cohesive Unit,3,SLATFATC,,0.1538
NLTP S14,Best Streamer,1,,IfYouSeekAmy,0.3333
NLTP S14,Best Streamer,2,,JBB,0.2333
NLTP S14,Best Streamer,3,,thirskin,0.1424
NLTP S14,Heart Award,1,PIC,Balled Eagle,0.1450
NLTP S14,Heart Award,2,RTJ,Marswater,0.1213
NLTP S14,Heart Award,3,DNO,BusinessBird,0.1006
NLTP S14,Behind the Scenes,1,PIC,Balled Eagle,0.4592
NLTP S14,Behind the Scenes,2,,Fender,0.1014
NLTP S14,Behind the Scenes,2,,NameLEss,0.1014
NLTP S14,Behind the Scenes,3,PUP,WRIG,0.0930
NLTP B S14,MVB,1,LBT,linux,0.1766
NLTP B S14,MVB,2,DNO,$T,0.1557
NLTP B S14,MVB,3,RTJ,Cheezedoodle,0.0988
NLTP B S14,OBOS,1,DNO,$T,0.2080
NLTP B S14,OBOS,2,FLB,RandyB0Bandy,0.1529
NLTP B S14,OBOS,3,RTJ,T-Swift!,0.1529
NLTP B S14,DBOS,1,RTJ,Cheezedoodle,0.1915
NLTP B S14,DBOS,2,DNO,Makin Bacon,0.1854
NLTP B S14,DBOS,3,LBT,gh0st,0.1489
NLTP B S14,Offensive Team Ball,1,PQP,=|,0.2346
NLTP B S14,Offensive Team Ball,2,PQP,eggheater,0.1885
NLTP B S14,Offensive Team Ball,3,DST,off constant,0.1731
NLTP B S14,Defensive Team Ball,1,DST,kwib,0.3114
NLTP B S14,Defensive Team Ball,2,RTJ,PASSTHEFLAG,0.2088
NLTP B S14,Defensive Team Ball,3,FLB,360broscope,0.1758
NLTP B S14,Rookie of the Season,1,RTJ,Cheezedoodle,0.2360
NLTP B S14,Rookie of the Season,2,FLB,CarrotCake,0.2143
NLTP B S14,Rookie of the Season,3,RTJ,DAD.,0.1708
NLTP B S14,Position Change,1,-,Catpuke / Flaccid Trip,0.3295
NLTP B S14,Position Change,2,DST,2rd,0.2235
NLTP B S14,Position Change,3,SLA,inthesomeday,
NLTP B S14,Most Improved,1,DNO,Peach Fuzz,0.2461
NLTP B S14,Most Improved,2,BOY,slobonmyknob,0.1838
NLTP B S14,Most Improved,3,RTJ,i love hd,0.1558
NLTP B S14,Well Rounded,1,FLB,CarrotCake,0.1531
NLTP B S14,Well Rounded,2,PQP,Flaccid Trip,0.1188
NLTP B S14,Well Rounded,3,LBT,linux,0.1156
NLTP B S14,FU GASP,1,OPH,Edd,0.1869
NLTP B S14,FU GASP,2,RTJ,PASSTHEFLAG,0.1626
NLTP B S14,FU GASP,3,POG,rake,0.1280
NLTP B S14,Best Valued,1,RTJ,DAD.,0.1873
NLTP B S14,Best Valued,2,RTJ,Cheezedoodle,0.1841
NLTP B S14,Best Valued,3,FLB,CarrotCake,0.1016
NLTP B S14,Best Offense Pair,1,DNO,$T,0.2642
NLTP B S14,Best Offense Pair,1,DNO,CatPuke,0.2642
NLTP B S14,Best Offense Pair,1,DNO,Peach Fuzz,0.2642
NLTP B S14,Best Offense Pair,2,RTJ,T-Swift!,0.1973
NLTP B S14,Best Offense Pair,2,RTJ,Marswater,0.1973
NLTP B S14,Best Offense Pair,2,RTJ,DAD.,0.1973
NLTP B S14,Best Offense Pair,3,OPH,Adarssh,0.1338
NLTP B S14,Best Offense Pair,3,OPH,infinity,0.1338
NLTP B S14,Best Offense Pair,3,OPH,Edd,0.1338
NLTP B S14,Best Defense Pair,1,RTJ,Cheezedoodle,0.2406
NLTP B S14,Best Defense Pair,1,RTJ,Superdiglett,0.2406
NLTP B S14,Best Defense Pair,2,DNO,Makin Bacon,0.2074
NLTP B S14,Best Defense Pair,2,DNO,Zig,0.2074
NLTP B S14,Best Defense Pair,2,DNO,SKY KING,0.2074
NLTP B S14,Best Defense Pair,2,DNO,Jerry.,0.2074
NLTP B S14,Best Defense Pair,3,LBT,gh0st,0.2074
NLTP B S14,Best Defense Pair,3,LBT,Trituin,0.2074
MLTP S15,MVB,1,COA,Daffodil,0.3590
MLTP S15,MVB,2,COA,bright,0.1528
MLTP S15,MVB,3,RLB,toasty.,0.1281
MLTP S15,OBOS,1,COA,bright,0.3884
MLTP S15,OBOS,2,RLB,toasty.,0.2025
MLTP S15,OBOS,3,GGB,pulpo,0.1240
MLTP S15,DBOS,1,COA,Daffodil,0.4310
MLTP S15,DBOS,2,GGB,Wanye,0.2092
MLTP S15,DBOS,3,ABO,Eashy,0.1715
MLTP S15,OROS,1,GGB,pulpo,0.5840
MLTP S15,OROS,2,RLB,Taco.,0.4160
MLTP S15,5th Ball,1,RLB,Cheetosrule,0.3392
MLTP S15,5th Ball,2,ABO,phreak,0.2159
MLTP S15,5th Ball,3,RLB,Syniikal,0.1894
MLTP S15,Well Rounded,1,GGB,Wanye,0.3049
MLTP S15,Well Rounded,2,GGB,Spjork,0.2556
MLTP S15,Well Rounded,3,BD,intercest,0.2197
MLTP S15,Most Improved,1,COA,bright,0.2870
MLTP S15,Most Improved,2,GGB,Wanye,0.2466
MLTP S15,Most Improved,3,COA,sun chips,0.1973
MLTP S15,Best Valued,1,COA,sun chips,0.3018
MLTP S15,Best Valued,2,RLB,Taco.,0.2703
MLTP S15,Best Valued,3,WOB,Frothy,0.1261
MLTP S15,Best Offensive Performance,1,COA,bright,0.2228
MLTP S15,Best Offensive Performance,2,GGB,pulpo,0.2176
MLTP S15,Best Offensive Performance,3,RLB,toasty.,0.1865
MLTP S15,Best Defensive Performance,1,COA,Daffodil,0.2414
MLTP S15,Best Defensive Performance,2,GGB,Wanye,0.1970
MLTP S15,Best Defensive Performance,3,COA,Daffodil,0.1921
MLTP S15,FU GASP,1,GGB,GOOBR,0.2754
MLTP S15,FU GASP,2,CRK,aardvark,0.1884
MLTP S15,FU GASP,3,RLB,Taco.,0.1836
MLTP S15,Best Captain,1,COA,Warriors,0.2979
MLTP S15,Best Captain,2,RLB,toasty.,0.2043
MLTP S15,Best Captain,3,GGB,GOOBR,0.1617
MLTP S15,Most Cohesive Unit,1,Centra of Attention,,0.3930
MLTP S15,Most Cohesive Unit,2,The Good Gravy Boat,,0.1616
MLTP S15,Most Cohesive Unit,3,A Blockwork Orange,,0.1529
MLTP S15,Best Streamer,1,RLB,iAaronK,0.3304
MLTP S15,Best Streamer,2,AC,BALLDON'TLIE,0.2996
MLTP S15,Best Streamer,3,-,okthen,0.1013
MLTP S15,Best Commentator,1,AC,BALLDON'TLIE,0.5291
MLTP S15,Best Commentator,2,-,Abe Lincoln,0.1598
MLTP S15,Best Commentator,3,-,okthen,0.1370
MLTP S15,Behind the Scenes,1,CRK,Destar,0.1895
MLTP S15,Behind the Scenes,2,-,Mufro,0.1842
MLTP S15,Behind the Scenes,3,RLB,iAaronK,0.1210
MLTP S15,All-Stars [Offense],1,RLB,toasty.,0.6944
MLTP S15,All-Stars [Offense],2,COA,bright,0.6667
MLTP S15,All-Stars [Offense],3,GGB,pulpo,0.6111
MLTP S15,All-Stars [Offense],4,ABO,badger,0.5000
MLTP S15,All-Stars [Offense],5,WOB,DT,0.4722
MLTP S15,All-Stars [Defense],1,COA,Daffodil,0.9110
MLTP S15,All-Stars [Defense],2,GGB,Wanye,0.7059
MLTP S15,All-Stars [Defense],3,ABO,Eashy,0.7059
MLTP S15,All-Stars [Defense],4,CRK,MEX,0.6471
MLTP S15,All-Stars [Defense],5,RLB,Syniikal,0.3824
mLTP S15,MVB,1,SRP,d0pe,
mLTP S15,MVB,2,SC,VEEZY,
mLTP S15,MVB,3,PIC,obama.,
mLTP S15,OBOS,1,SRP,d0pe,
mLTP S15,OBOS,2,SC,VEEZY,
mLTP S15,OBOS,3,SOW,Mufro,
mLTP S15,DBOS,1,PIC,p-d0g,
mLTP S15,DBOS,2,WTP,Homie,
mLTP S15,DBOS,3,BGB,777z,
mLTP S15,OROS,1,MTB,Suchit,
mLTP S15,OROS,2,QAK,gghob,
mLTP S15,OROS,3,WTP,IfYouSeekAmy,
mLTP S15,DROS,1,PIC,p-d0g,
mLTP S15,DROS,2,WTP,Homie,
mLTP S15,DROS,3,SOW,Pavement,
mLTP S15,5th Ball,1,SC,PRJCT,
mLTP S15,5th Ball,2,SOW,Pavement,
mLTP S15,5th Ball,3,QAK,Zvonvok,
mLTP S15,Well Rounded,1,PIC,obama.,
mLTP S15,Well Rounded,2,CLP,Cheetosrule,
mLTP S15,Well Rounded,3,SOW,Bamboozler,
mLTP S15,Most Improved,1,SC,TACO.,
mLTP S15,Most Improved,2,SRP,d0pe,
mLTP S15,Most Improved,3,BGB,777z,
mLTP S15,Best Valued,1,SC,NEB.,
mLTP S15,Best Valued,2,SOW,Camelblues,
mLTP S15,Best Valued,3,CLP,refined,
mLTP S15,Best Offensive Performance,1,SRP,d0pe,
mLTP S15,Best Offensive Performance,2,SOW,Mufro,
mLTP S15,Best Offensive Performance,3,SRP,#SelfySyntax,
mLTP S15,Best Defensive Performance,1,CLP,thenewguy.,
mLTP S15,Best Defensive Performance,2,CLP,thenewguy.,
mLTP S15,Best Defensive Performance,3,WTP,Homie,
mLTP S15,FU GASP,1,SOW,Bamboozler,
mLTP S15,FU GASP,2,TPB,Coach G.,
mLTP S15,FU GASP,3,WTP,IfYouSeekAmy,
mLTP S15,Most Cohesive Unit [Red],1,SRP,Stranger Pings,
mLTP S15,Most Cohesive Unit [Red],2,SOW,Spheres of War,
mLTP S15,Most Cohesive Unit [Red],3,WTP,Weed The People,
mLTP S15,Best Captain [Red],1,SOW,Mufro,
mLTP S15,Best Captain [Red],2,SRP,#SelfySyntax,
mLTP S15,Best Captain [Red],3,BUB,bright,
mLTP S15,Most Cohesive Unit [Blue],1,SC,SMALL CAPS,
mLTP S15,Most Cohesive Unit [Blue],2,PIC,Pi-Curious,
mLTP S15,Most Cohesive Unit [Blue],3,CLP,Club Pinguin,
mLTP S15,Best Captain [Blue],1,SC,BALLDON'TLIE,
mLTP S15,Best Captain [Blue],2,PIC,BallAnka,
mLTP S15,Best Captain [Blue],3,CLP,Tim Hortons,
mLTP S15,All-Stars [Offense],1,SRP,d0pe,
mLTP S15,All-Stars [Offense],2,SC,VEEZY,
mLTP S15,All-Stars [Offense],3,SOW,Mufro,
mLTP S15,All-Stars [Offense],4,SOW,TACO.,
mLTP S15,All-Stars [Offense],5,SRP,#SelfySyntax,
mLTP S15,All-Stars [Defense],1,PIC,obama.,
mLTP S15,All-Stars [Defense],2,PIC,p-d0g,
mLTP S15,All-Stars [Defense],3,WTP,Homie,
